2026-04-26 16:24:56,300 | INFO | app | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-26 16:24:59,452 | INFO | app | Calling LLM provider=siliconflow model=Qwen/Qwen2.5-7B-Instruct endpoint=https://api.siliconflow.cn/v1/chat/completions
2026-04-26 16:26:32,864 | INFO | init_mysql | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-26 16:26:44,447 | INFO | load_demo_data | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-26 16:26:44,450 | INFO | load_demo_data | Embedding backend=hashing, configured_model=BAAI/bge-m3
2026-04-26 16:26:44,462 | INFO | load_demo_data | Loaded 4 role profiles.
2026-04-26 16:26:44,476 | INFO | load_demo_data | Loaded 12 knowledge chunks.
2026-04-26 16:26:50,711 | INFO | app | Embedding backend=hashing, configured_model=BAAI/bge-m3
2026-04-26 16:26:50,811 | INFO | app | Embedding backend=hashing, configured_model=BAAI/bge-m3
2026-04-26 16:26:50,827 | INFO | app | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-26 16:27:46,634 | INFO | app | Calling LLM provider=siliconflow model=Qwen/Qwen2.5-7B-Instruct endpoint=https://api.siliconflow.cn/v1/chat/completions
2026-04-26 18:31:07,510 | INFO | init_mysql | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-26 18:31:27,796 | INFO | load_demo_data | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-26 18:31:27,798 | INFO | load_demo_data | Embedding backend=hashing, configured_model=BAAI/bge-m3
2026-04-26 18:31:27,806 | INFO | load_demo_data | Loaded 4 role profiles.
2026-04-26 18:31:27,817 | INFO | load_demo_data | Loaded 12 knowledge chunks.
2026-04-26 18:31:34,365 | INFO | app | Embedding backend=hashing, configured_model=BAAI/bge-m3
2026-04-26 18:31:34,436 | INFO | app | Embedding backend=hashing, configured_model=BAAI/bge-m3
2026-04-26 18:31:34,449 | INFO | app | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-26 18:32:12,187 | INFO | app | Calling LLM provider=siliconflow model=Qwen/Qwen2.5-7B-Instruct endpoint=https://api.siliconflow.cn/v1/chat/completions
2026-04-26 18:41:47,545 | INFO | app | Embedding backend=hashing, configured_model=BAAI/bge-m3
2026-04-26 18:41:47,563 | INFO | app | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-26 18:41:47,618 | INFO | app | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-26 18:43:09,530 | INFO | init_mysql | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-26 18:43:24,786 | INFO | load_demo_data | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-26 18:43:24,789 | INFO | load_demo_data | Embedding backend=hashing, configured_model=BAAI/bge-m3
2026-04-26 18:43:24,798 | INFO | load_demo_data | Loaded 4 role profiles.
2026-04-26 18:43:24,812 | INFO | load_demo_data | Loaded 12 knowledge chunks.
2026-04-26 18:43:31,406 | INFO | app | Embedding backend=hashing, configured_model=BAAI/bge-m3
2026-04-26 18:43:31,490 | INFO | app | Embedding backend=hashing, configured_model=BAAI/bge-m3
2026-04-26 18:43:31,504 | INFO | app | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-26 18:50:16,385 | INFO | app | Embedding backend=hashing, configured_model=BAAI/bge-m3
2026-04-26 18:50:16,411 | INFO | app | Database schema initialized at C:\Users\刘禹含\Desktop\RAG\data\storage\app.db
2026-04-26 18:50:50,328 | INFO | app | Embedding backend=hashing, configured_model=BAAI/bge-m3
2026-04-26 18:50:50,341 | INFO | app | Open the site root in a browser, not /static.
2026-04-26 18:50:50,342 | INFO | app | Local URL: http://127.0.0.1:8000/
2026-04-26 18:50:50,342 | INFO | app | LAN URL: http://10.223.11.112:8000/
2026-04-26 18:50:50,370 | INFO | app | Embedding backend=hashing, configured_model=BAAI/bge-m3
